Voltage (V),Current (mA),Current (A)
0.017,0,0
0.104,0,0
0.24,0,0
0.329,0.004,0.000004
0.44,0.04,0.00004
0.547,0.14,0.00014
0.613,0.23,0.00023
0.744,0.44,0.00044
0.843,0.61,0.00061
0.954,0.83,0.00083
1.054,1.01,0.00101
1.17,1.25,0.00125
1.25,1.4,0.0014
1.363,1.63,0.00163
1.467,1.83,0.00183
1.555,2.01,0.00201
1.654,2.22,0.00222
1.754,2.42,0.00242
1.833,2.58,0.00258
1.952,2.83,0.00283
2.08,3.09,0.00309
2.14,3.23,0.00323
2.25,3.45,0.00345
2.34,3.64,0.00364
2.47,3.89,0.00389
2.55,4.08,0.00408
2.66,4.3,0.0043
2.71,4.41,0.00441
2.83,4.66,0.00466
2.97,4.96,0.00496
3.12,5.26,0.00526